name,team,position,goals_scored_1,goals_scored_2,goals_scored_3,goals_scored_4,goals_scored_5,goals_scored_6,goals_scored_7,goals_scored_8,goals_scored_9,goals_scored_10,goals_scored_11
Alex Smithies,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alex Telles,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Isak,,,,,,0.0,1.0,0.0,,1.0,0.0,0.0,0.0
Alexandre Moreno Lopera,,,,,,,,,,,,,
Alexis Mac Allister,5.0,MID,0.0,0.0,1.0,0.0,1.0,2.0,,,0.0,0.0,0.0
Alfie Devine,18.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alfie Gilchrist,,,,,,,,,,,,,
Alisson Ramses Becker,12.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Allan Marques Loureiro,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Allan Saint-Maximin,15.0,MID,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alphonse Areola,19.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Amad Diallo,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Amadou Onana,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Amario Cozier-Duberry,,,,,,,,,,,,,
Andreas Hoelgebaum Pereira,9.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
Andrew Moran,,,,,,,,,,,,,
Andrew Robertson,12.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andrey Nascimento dos Santos,,,,,,,,,,,,,
Andros Townsend,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Andr̩ Ayew,,,,,,,,,,,,,
Andr̩ Tavares Gomes,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Andy Lonergan,,,,,,,,,,,,,
Angelo Ogbonna,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Anthony Elanga,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Gordon,8.0,MID,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0
Anthony Knockaert,9.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Anthony Martial,14.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0
Antoine Semenyo,,,,,,,,,,,,,
Antonee Robinson,9.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Antony Matheus dos Santos,,,,,,,,1.0,,,1.0,1.0,0.0
