id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
23,2561917,7,,10,,3,False,0,False,2025-08-30T11:30:00Z,Gameweek 3,False,4
37,2561931,10,,11,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,True,2
45,2561939,10,,5,,5,False,0,False,2025-09-20T19:00:00Z,Gameweek 5,True,3
51,2561945,2,,10,,6,False,0,False,2025-09-27T14:00:00Z,Gameweek 6,False,4
63,2561955,4,,10,,7,False,0,False,2025-10-03T19:00:00Z,Gameweek 7,False,3
74,2561968,10,,1,,8,False,0,False,2025-10-18T16:30:00Z,Gameweek 8,True,4
89,2561983,15,,10,,9,False,0,False,2025-10-25T14:00:00Z,Gameweek 9,False,4
94,2561988,10,,20,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,True,2
105,2561999,9,,10,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,False,3
115,2562009,10,,17,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,True,2
129,2562023,18,,10,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,False,3
135,2562029,10,,13,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,True,4
145,2562039,10,,8,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,3
153,2562047,3,,10,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,2
165,2562059,10,,16,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,3
180,2562074,19,,10,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,2
185,2562079,8,,10,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,3
195,2562089,10,,12,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,4
207,2562101,10,,7,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,3
214,2562108,11,,10,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,2
227,2562121,10,,6,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,3
236,2562130,14,,10,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,3
245,2562139,10,,9,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,True,2
256,2562150,13,,10,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,False,4
268,2562162,17,,10,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,False,2
275,2562169,10,,18,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,True,3
285,2562179,10,,19,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,2
298,2562192,16,,10,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,3
305,2562199,10,,3,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,2
316,2562210,12,,10,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,5
322,2562216,5,,10,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,False,3
335,2562229,10,,2,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,True,3
341,2562236,1,,10,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,False,4
354,2562248,10,,4,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,True,3
370,2562264,20,,10,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,False,3
374,2562268,10,,15,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,3
