id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
30,2561924,20,,9,,3,False,0,False,2025-08-30T14:00:00Z,Gameweek 3,False,3
36,2561930,9,,2,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,True,3
46,2561940,12,,9,,5,False,0,False,2025-09-20T11:30:00Z,Gameweek 5,False,5
55,2561949,9,,19,,6,False,0,False,2025-09-29T19:00:00Z,Gameweek 6,True,2
66,2561960,9,,8,,7,False,0,False,2025-10-04T14:00:00Z,Gameweek 7,True,3
76,2561970,13,,9,,8,False,0,False,2025-10-18T14:00:00Z,Gameweek 8,False,4
86,2561980,9,,18,,9,False,0,False,2025-10-26T16:30:00Z,Gameweek 9,True,3
98,2561992,17,,9,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,2
105,2561999,9,,10,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,3
118,2562012,14,,9,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,3
125,2562019,9,,15,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,3
132,2562025,4,,9,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,3
144,2562038,9,,16,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,3
154,2562048,7,,9,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,4
164,2562058,9,,1,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,4
173,2562067,3,,9,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,2
188,2562082,16,,9,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,3
194,2562088,9,,5,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,3
206,2562100,9,,20,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,2
211,2562105,2,,9,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,4
226,2562120,9,,11,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,2
232,2562126,6,,9,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,3
245,2562139,10,,9,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,3
255,2562149,9,,4,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,3
265,2562159,9,,14,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,3
279,2562173,15,,9,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,4
284,2562178,9,,3,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,2
291,2562185,1,,9,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,4
304,2562198,9,,7,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,3
312,2562206,5,,9,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,3
325,2562219,9,,12,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,4
339,2562233,19,,9,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,2
346,2562240,9,,13,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,4
353,2562247,8,,9,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,3
366,2562260,9,,17,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,2
379,2562273,18,,9,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3
