id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
21,2561915,2,,8,,3,False,0,False,2025-08-31T18:00:00Z,Gameweek 3,False,4
35,2561929,8,,17,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,True,2
49,2561943,19,,8,,5,False,0,False,2025-09-20T14:00:00Z,Gameweek 5,False,2
54,2561948,8,,12,,6,False,0,False,2025-09-27T14:00:00Z,Gameweek 6,True,4
66,2561960,9,,8,,7,False,0,False,2025-10-04T14:00:00Z,Gameweek 7,False,3
73,2561967,8,,4,,8,False,0,False,2025-10-18T14:00:00Z,Gameweek 8,True,3
81,2561976,1,,8,,9,False,0,False,2025-10-25T14:00:00Z,Gameweek 9,False,4
93,2561987,8,,5,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,True,3
104,2561998,8,,6,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,3
120,2562014,20,,8,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,3
124,2562018,8,,14,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,3
134,2562028,3,,8,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,2
145,2562039,10,,8,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,False,3
155,2562049,8,,13,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,True,4
166,2562060,11,,8,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,False,2
175,2562069,8,,18,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,True,3
185,2562079,8,,10,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,True,3
198,2562092,15,,8,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,False,4
205,2562099,8,,2,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,3
218,2562112,17,,8,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,2
225,2562119,8,,7,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,3
237,2562131,16,,8,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,3
243,2562137,6,,8,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,3
254,2562148,8,,3,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,2
264,2562158,8,,20,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,2
278,2562172,14,,8,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,3
289,2562183,18,,8,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,False,3
295,2562189,8,,11,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,True,2
307,2562201,13,,8,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,False,4
315,2562209,8,,15,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,True,3
324,2562218,8,,19,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,2
336,2562230,12,,8,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,5
343,2562235,4,,8,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,False,3
353,2562247,8,,9,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,True,2
364,2562258,5,,8,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,False,3
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,4
