id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
21,2561915,2,,8,,3,False,0,False,2025-08-31T18:00:00Z,Gameweek 3,True,3
36,2561930,9,,2,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,False,3
48,2561942,17,,2,,5,False,0,False,2025-09-21T13:00:00Z,Gameweek 5,False,2
51,2561945,2,,10,,6,False,0,False,2025-09-27T14:00:00Z,Gameweek 6,True,3
62,2561957,2,,3,,7,False,0,False,2025-10-05T13:00:00Z,Gameweek 7,True,2
79,2561973,18,,2,,8,False,0,False,2025-10-19T13:00:00Z,Gameweek 8,False,3
82,2561977,2,,13,,9,False,0,False,2025-10-26T14:00:00Z,Gameweek 9,True,4
95,2561989,12,,2,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,5
101,2561995,2,,4,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,3
116,2562010,11,,2,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,2
121,2562015,2,,20,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,2
133,2562027,6,,2,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,3
141,2562036,2,,1,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,4
160,2562054,19,,2,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,2
161,2562056,2,,14,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,3
174,2562068,7,,2,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,4
181,2562075,1,,2,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,4
191,2562086,2,,16,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,3
205,2562099,8,,2,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,False,3
211,2562105,2,,9,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,True,2
229,2562123,15,,2,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,False,4
231,2562125,2,,5,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,True,3
242,2562135,4,,2,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,3
251,2562145,2,,6,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,3
261,2562155,2,,11,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,2
280,2562174,20,,2,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,3
281,2562176,2,,7,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,3
297,2562191,14,,2,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,3
301,2562196,2,,19,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,2
318,2562212,16,,2,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,3
321,2562215,2,,17,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,2
335,2562229,10,,2,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,3
342,2562237,2,,18,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,3
352,2562246,3,,2,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,2
362,2562257,2,,12,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,4
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,4
