id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
27,2561921,16,,19,,3,False,0,False,2025-08-31T13:00:00Z,Gameweek 3,True,2
31,2561926,1,,16,,4,False,0,False,2025-09-13T11:30:00Z,Gameweek 4,False,4
44,2561938,3,,16,,5,False,0,False,2025-09-20T14:00:00Z,Gameweek 5,False,2
59,2561953,16,,17,,6,False,0,False,2025-09-27T16:30:00Z,Gameweek 6,True,2
69,2561963,15,,16,,7,False,0,False,2025-10-05T13:00:00Z,Gameweek 7,False,4
77,2561971,16,,7,,8,False,0,False,2025-10-18T11:30:00Z,Gameweek 8,True,3
83,2561975,4,,16,,9,False,0,False,2025-10-26T14:00:00Z,Gameweek 9,False,3
97,2561991,16,,14,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,True,3
107,2562001,16,,11,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,2
117,2562011,12,,16,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,5
127,2562021,16,,6,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,3
140,2562034,20,,16,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,3
144,2562038,9,,16,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,False,3
158,2562052,16,,18,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,True,3
165,2562059,10,,16,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,False,3
178,2562072,16,,13,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,True,4
188,2562082,16,,9,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,True,2
191,2562086,2,,16,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,False,4
210,2562104,19,,16,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,False,2
217,2562111,16,,1,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,True,4
223,2562117,5,,16,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,False,3
237,2562131,16,,8,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,True,3
246,2562140,11,,16,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,2
257,2562151,16,,20,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,2
267,2562161,16,,12,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,4
273,2562167,6,,16,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,3
287,2562181,13,,16,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,False,4
298,2562192,16,,10,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,True,3
309,2562203,18,,16,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,False,3
318,2562212,16,,2,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,True,3
329,2562223,16,,3,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,2
338,2562232,17,,16,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,2
345,2562239,7,,16,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,False,4
357,2562251,16,,15,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,True,3
368,2562262,14,,16,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,False,3
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,3
