team,minutes_1,minutes_2,minutes_3,minutes_4,minutes_5,minutes_6,minutes_7,minutes_8,minutes_9,minutes_10,minutes_11
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,986.0,985.0,988.0,980.0,901.0,821.0,929.0,841.0,902.0,925.0,988.0
6.0,990.0,0.0,874.0,942.0,970.0,843.0,896.0,729.0,854.0,977.0,972.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
18.0,987.0,985.0,985.0,985.0,1063.0,1003.0,987.0,946.0,976.0,978.0,860.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
18.0,987.0,985.0,985.0,985.0,1063.0,1003.0,987.0,946.0,976.0,978.0,860.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
10.0,988.0,955.0,960.0,885.0,869.0,882.0,860.0,817.0,852.0,807.0,808.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
2.0,986.0,986.0,969.0,1036.0,1022.0,1004.0,1010.0,1037.0,1003.0,974.0,1032.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
9.0,988.0,989.0,991.0,900.0,967.0,941.0,963.0,1003.0,991.0,1003.0,1077.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
7.0,987.0,958.0,899.0,882.0,1030.0,896.0,881.0,878.0,814.0,814.0,809.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
18.0,987.0,985.0,985.0,985.0,1063.0,1003.0,987.0,946.0,976.0,978.0,860.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,985.0,0.0,985.0,985.0,912.0,930.0,953.0,954.0,878.0,862.0,838.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,988.0,989.0,991.0,900.0,967.0,941.0,963.0,1003.0,991.0,1003.0,1077.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,987.0,989.0,962.0,950.0,728.0,764.0,636.0,607.0,750.0,756.0,663.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,986.0,925.0,865.0,983.0,987.0,971.0,872.0,943.0,925.0,918.0,904.0
10.0,988.0,955.0,960.0,885.0,869.0,882.0,860.0,817.0,852.0,807.0,808.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
8.0,991.0,988.0,988.0,989.0,990.0,990.0,988.0,988.0,984.0,985.0,986.0
6.0,990.0,0.0,874.0,942.0,970.0,843.0,896.0,729.0,854.0,977.0,972.0
18.0,987.0,985.0,985.0,985.0,1063.0,1003.0,987.0,946.0,976.0,978.0,860.0
