name,team,position,gw1_minutes,gw2_minutes,gw3_minutes,gw4_minutes,gw5_minutes,gw6_minutes,gw7_minutes,gw8_minutes,gw9_minutes,gw10_minutes,gw11_minutes,gw12_minutes,gw13_minutes,gw14_minutes,gw15_minutes,gw16_minutes,gw17_minutes,gw18_minutes,gw19_minutes,gw20_minutes,gw21_minutes,gw22_minutes,gw23_minutes,gw24_minutes,gw25_minutes,gw26_minutes,gw27_minutes,gw28_minutes,gw29_minutes,gw30_minutes,gw31_minutes,gw32_minutes,gw33_minutes,gw34_minutes,gw35_minutes,gw36_minutes,gw37_minutes,gw38_minutes
Aaron Anselmino,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,19.0,DEF,0.0,1.0,0.0,0.0,17.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,9.0,55.0,90.0,86.0,0.0,90.0,90.0,68.0,0.0,45.0,0.0,0.0,0.0,0.0,87.0,90.0,57.0,1.0
Aaron Hickey,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,1.0,GK,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Aaron Wan-Bissaka,19.0,DEF,0.0,28.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,66.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0
Abdoulaye DoucourÃ©,8.0,MID,62.0,56.0,7.0,0.0,90.0,90.0,90.0,90.0,79.0,0.0,85.0,71.0,90.0,82.0,,90.0,90.0,90.0,90.0,90.0,82.0,90.0,77.0,90.0,0.0,80.0,0.0,62.0,67.0,85.0,90.0,90.0,90.0,90.0,0.0,60.0,64.0,14.0
Abdukodir Khusanov,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Abdul Fatawu,11.0,MID,90.0,90.0,67.0,18.0,1.0,1.0,8.0,31.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Armstrong,17.0,FWD,90.0,70.0,45.0,0.0,8.0,0.0,16.0,0.0,45.0,90.0,90.0,76.0,90.0,61.0,90.0,81.0,90.0,72.0,64.0,35.0,17.0,57.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,17.0,MID,0.0,0.0,8.0,27.0,58.0,20.0,0.0,0.0,59.0,45.0,59.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,3.0,DEF,62.0,4.0,13.0,74.0,21.0,90.0,62.0,45.0,60.0,90.0,83.0,74.0,90.0,90.0,62.0,67.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,66.0,90.0,83.0,90.0,0.0,69.0,21.0,90.0
Adam Webster,5.0,DEF,14.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,0.0,1.0,0.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0
Adam Wharton,7.0,MID,73.0,90.0,90.0,90.0,45.0,87.0,59.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,9.0,77.0,86.0,,85.0,81.0,79.0,74.0,,60.0,0.0,0.0,0.0
Adama TraorÃ©,9.0,MID,77.0,68.0,90.0,90.0,73.0,68.0,90.0,67.0,67.0,25.0,1.0,19.0,0.0,19.0,59.0,3.0,28.0,66.0,12.0,11.0,22.0,45.0,37.0,87.0,89.0,90.0,66.0,0.0,27.0,66.0,8.0,33.0,6.0,45.0,23.0,27.0,79.0,73.0
Adrian Mazilu,5.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert GrÃ¸nbÃ¦k,,,,,,,,,,,,,,,,,,,,,,,,,0.0,69.0,0.0,2.0,0.0,63.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
