name,team,position,gw1_minutes,gw2_minutes,gw3_minutes,gw4_minutes,gw5_minutes,gw6_minutes,gw7_minutes,gw8_minutes,gw9_minutes,gw10_minutes,gw11_minutes,gw12_minutes,gw13_minutes,gw14_minutes,gw15_minutes,gw16_minutes,gw17_minutes,gw18_minutes,gw19_minutes,gw20_minutes,gw21_minutes,gw22_minutes,gw23_minutes,gw24_minutes,gw25_minutes,gw26_minutes,gw27_minutes,gw28_minutes,gw29_minutes,gw30_minutes,gw31_minutes,gw32_minutes,gw33_minutes,gw34_minutes,gw35_minutes,gw36_minutes,gw37_minutes,gw38_minutes
Aaron Connolly,5.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,90.0,6.0,0.0,0.0,36.0,0.0,45.0,0.0,14.0,6.0,90.0
Aaron Hickey,4.0,DEF,71.0,77.0,90.0,81.0,81.0,72.0,68.0,90.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,1.0,GK,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,,,,,22.0,0.0,0.0,72.0,66.0,29.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,20.0,0.0,0.0,1.0,31.0,0.0,31.0,62.0,80.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,14.0,DEF,90.0,65.0,90.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,14.0,79.0,0.0,0.0,0.0,90.0,90.0,89.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,86.0,90.0
Abdoulaye Doucour̩,9.0,MID,90.0,90.0,90.0,90.0,79.0,90.0,59.0,90.0,90.0,90.0,90.0,90.0,89.0,90.0,90.0,90.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,71.0,88.0,90.0,60.0,,71.0,59.0,90.0,90.0,90.0,90.0,53.0,68.0,90.0
Abdul Rahman Baba,7.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Davies,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,5.0,MID,0.0,9.0,30.0,9.0,63.0,0.0,0.0,0.0,0.0,58.0,45.0,45.0,45.0,56.0,0.0,45.0,59.0,15.0,1.0,16.0,18.0,0.0,2.0,56.0,0.0,15.0,58.0,10.0,,7.0,63.0,0.0,13.0,45.0,0.0,0.0,0.0,56.0
