name,team,position,gw1_expected_goals,gw2_expected_goals,gw3_expected_goals,gw4_expected_goals,gw5_expected_goals,gw6_expected_goals,gw7_expected_goals,gw8_expected_goals,gw9_expected_goals,gw10_expected_goals,gw11_expected_goals,gw12_expected_goals,gw13_expected_goals,gw14_expected_goals,gw15_expected_goals,gw16_expected_goals,gw17_expected_goals,gw18_expected_goals,gw19_expected_goals,gw20_expected_goals,gw21_expected_goals,gw22_expected_goals,gw23_expected_goals,gw24_expected_goals,gw25_expected_goals,gw26_expected_goals,gw27_expected_goals,gw28_expected_goals,gw29_expected_goals,gw30_expected_goals,gw31_expected_goals,gw32_expected_goals,gw33_expected_goals,gw34_expected_goals,gw35_expected_goals,gw36_expected_goals,gw37_expected_goals,gw38_expected_goals
Aaron Anselmino,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
Aaron Hickey,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.07,0.45,0.04,0.0,0.0,0.0,0.13,0.15,0.02,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.0,0.0
Abdoulaye DoucourÃ©,8.0,MID,0.14,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.17,0.0,0.0,0.02,,0.09,0.0,0.04,0.05,0.06,0.19,0.0,0.0,0.79,0.0,0.92,0.0,0.29,0.2,0.0,0.04,0.33,0.15,0.16,0.0,0.0,0.27,0.0
Abdukodir Khusanov,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Abdul Fatawu,11.0,MID,0.0,0.06,0.05,0.01,0.0,0.0,0.03,0.17,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Armstrong,17.0,FWD,0.71,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.05,0.93,0.24,0.0,0.0,0.54,0.15,0.04,0.11,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,17.0,MID,0.0,0.0,0.07,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,3.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Adam Webster,5.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
Adam Wharton,7.0,MID,0.09,0.02,0.02,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,0.0,0.0,0.0,0.02,,0.03,0.0,0.0,0.0
Adama TraorÃ©,9.0,MID,0.1,0.21,0.15,0.56,0.1,0.04,1.29,0.0,0.13,0.17,0.0,0.02,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.21,0.13,0.06,0.14,0.2,0.02,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.06,0.0,0.06,0.18
Adrian Mazilu,5.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert GrÃ¸nbÃ¦k,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Garnacho,14.0,MID,0.68,0.71,0.0,0.31,0.47,0.14,0.07,0.39,0.23,0.46,0.06,0.22,0.06,0.0,0.21,0.0,0.17,0.05,0.0,0.03,0.61,0.07,0.0,0.25,0.38,0.06,0.04,0.07,0.07,0.25,0.05,0.13,0.02,0.87,0.15,0.12,0.0,0.0
Alejo VÃ©liz,18.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,9.0,MID,0.04,0.21,0.03,0.04,0.35,0.03,0.05,0.0,0.15,0.1,0.14,0.16,0.27,0.29,0.0,0.08,0.34,0.03,0.33,0.08,0.05,0.1,0.09,0.0,0.23,0.01,0.04,0.15,0.12,0.0,0.17,0.16,0.04,0.22,0.08,0.09,0.04,0.02
Alex McCarthy,17.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Mighten,16.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Murphy,15.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Paulsen,3.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
