name,team,position,gw1_expected_assists,gw2_expected_assists,gw3_expected_assists,gw4_expected_assists,gw5_expected_assists,gw6_expected_assists,gw7_expected_assists,gw8_expected_assists,gw9_expected_assists,gw10_expected_assists,gw11_expected_assists,gw12_expected_assists,gw13_expected_assists,gw14_expected_assists,gw15_expected_assists,gw16_expected_assists,gw17_expected_assists,gw18_expected_assists,gw19_expected_assists,gw20_expected_assists,gw21_expected_assists,gw22_expected_assists,gw23_expected_assists,gw24_expected_assists,gw25_expected_assists,gw26_expected_assists,gw27_expected_assists,gw28_expected_assists,gw29_expected_assists,gw30_expected_assists,gw31_expected_assists,gw32_expected_assists,gw33_expected_assists,gw34_expected_assists,gw35_expected_assists,gw36_expected_assists,gw37_expected_assists,gw38_expected_assists
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20854,0.00897,0.06226,0.00336,0.09947,0.0,0.0,0.0,0.0,0.13,0.0,0.0,,0.0,0.13,0.08,0.26,0.08,0.0,0.01,0.0,0.0,0.01
Aaron Hickey,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,,0.01,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.03,0.06,0.02
Aaron Ramsdale,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00014,0.01222,0.00053,0.00165,0.00044,0.00121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146,0.05172,0.01766,0.01203,0.0046,0.03,0.0,0.18,,0.0,0.01,,0.0,0.18,0.06,,0.0,0.0,0.06,0.03,0.04,0.0
Abdoulaye DoucourÃ©,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416,0.00449,0.0,0.00103,0.0,0.0,0.01,0.02,0.05,0.2,0.26,0.01,0.01,0.06,0.0,0.0,0.0,0.23,0.04,0.06,0.01,0.4,0.01
Adam Armstrong,17.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,2e-05,0.00672,0.0131,0.00201,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Adam Forshaw,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.00388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.07,0.06,0.25
Adam Lallana,5.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.03006,0.05165,0.00092,0.08084,0.01282,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Adam Smith,3.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04076,0.00828,0.03284,0.07916,0.0,0.00876,0.0,0.0,0.01,0.0,0.0,0.02,0.09,0.01,0.02,0.0,0.04,0.0,0.23,0.01,0.0,0.14,0.08
Adam Webster,5.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,,0.01,0.01,,0.0,0.01,0.01,,0.0,0.01,0.03,0.0,0.0,0.0
Adama TraorÃ© Diarra,20.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31311,0.02996,0.00716,0.00733,0.15462,0.00101,0.37,0.08,0.74,0.08,0.06,0.02,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25
AdriÃ¡n San Miguel del Castillo,12.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainsley Maitland-Niles,1.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742,0.19627,0.03155,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.06,0.0,0.02,0.01,0.01,0.03,0.0,0.02,0.0,0.09,0.01,0.0,0.0
Albert Sambi Lokonga,1.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
