name,team,position,gw1_opponent_team,gw2_opponent_team,gw3_opponent_team,gw4_opponent_team,gw5_opponent_team,gw6_opponent_team,gw7_opponent_team,gw8_opponent_team,gw9_opponent_team,gw10_opponent_team,gw11_opponent_team,gw12_opponent_team,gw13_opponent_team,gw14_opponent_team,gw15_opponent_team,gw16_opponent_team,gw17_opponent_team,gw18_opponent_team,gw19_opponent_team,gw20_opponent_team,gw21_opponent_team,gw22_opponent_team,gw23_opponent_team,gw24_opponent_team,gw25_opponent_team,gw26_opponent_team,gw27_opponent_team,gw28_opponent_team,gw29_opponent_team,gw30_opponent_team,gw31_opponent_team,gw32_opponent_team,gw33_opponent_team,gw34_opponent_team,gw35_opponent_team,gw36_opponent_team,gw37_opponent_team,gw38_opponent_team
Alex McCarthy,17.0,GK,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0,7.0,15.0,12.0,5.0,9.0,16.0,8.0,2.0,4.0,20.0,6.0,11.0,10.0,14.0,18.0,19.0,13.0,7.0,1.0,3.0,15.0,16.0,9.0,5.0,12
Alex Mighten,16.0,MID,15.0,19.0,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0,1.0,4.0,7.0,14.0,6.0,17.0,10.0,3.0,11.0,9.0,13.0,19.0,8.0,18.0,15.0,20.0,2.0,14.0,12.0,5.0,4.0,17.0,6.0,1.0,7
Alex Oxlade-Chamberlain,12.0,MID,9.0,7.0,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0,11.0,18.0,17.0,2.0,10.0,4.0,5.0,6.0,20.0,8.0,15.0,7.0,14.0,3.0,,13.0,1.0,11.0,16.0,19.0,18.0,4.0,10.0,2.0,17
Alex Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4
Alex Smithies,,,,,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0,13.0,8.0,19.0,15.0,12.0,9.0,16.0,5.0,2.0,18.0,14.0,1.0,17.0,6.0,4.0,7.0,3.0,13.0,20.0,11.0,8.0,9.0,12.0,15.0,19
Alex Telles,14.0,DEF,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Alexander Isak,,,,,,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0,2.0,17.0,6.0,10.0,11.0,1.0,9.0,7.0,19.0,3.0,12.0,,13.0,20.0,16.0,14.0,4.0,2.0,18.0,8.0,17.0,1.0,11.0,10.0,6
Alexandre Moreno Lopera,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,10.0,13.0,1.0,8.0,7.0,19.0,3.0,6.0,16.0,15.0,4.0,9.0,14.0,20.0,18.0,12.0,5
Alexis Mac Allister,5.0,MID,14.0,15.0,19.0,11.0,9.0,10.0,,,12.0,18.0,4.0,16.0,13.0,6.0,20.0,2.0,17.0,1.0,8.0,12.0,10.0,3.0,7.0,9.0,,19.0,11.0,,4.0,18.0,6.0,,16.0,20.0,8.0,1.0,17.0,2
Alfie Devine,18.0,MID,17.0,6.0,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0,3.0,12.0,11.0,4.0,2.0,7.0,1.0,9.0,13.0,10.0,19.0,6.0,20.0,16.0,17.0,8.0,5.0,3.0,15.0,14.0,12.0,7.0,2.0,4.0,11
Alfie Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,15
Alisson Ramses Becker,12.0,GK,9.0,7.0,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0,11.0,18.0,17.0,2.0,10.0,4.0,5.0,6.0,20.0,8.0,15.0,7.0,14.0,3.0,,13.0,1.0,11.0,16.0,19.0,18.0,4.0,10.0,2.0,17
Allan Marques Loureiro,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
Allan Saint-Maximin,15.0,MID,16.0,5.0,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0,2.0,17.0,6.0,10.0,11.0,1.0,9.0,7.0,19.0,3.0,12.0,,13.0,20.0,16.0,14.0,4.0,2.0,18.0,8.0,17.0,1.0,11.0,10.0,6
Alphonse Areola,19.0,GK,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0,14.0,7.0,10.0,1.0,4.0,11.0,20.0,8.0,15.0,6.0,18.0,16.0,5.0,2.0,,17.0,9.0,1.0,3.0,12.0,7.0,14.0,4.0,11.0,10
Amad Diallo,14.0,MID,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Amadou Onana,,,,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
Amario Cozier-Duberry,,,,,,,,,,,,,,,,,,,19.0,5.0,15.0,18.0,14.0,8.0,4.0,2.0,10.0,3.0,9.0,7.0,11.0,12.0,19.0,17.0,13.0,6.0,15.0,5.0,16.0,20
Andreas Hoelgebaum Pereira,9.0,MID,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0,8.0,13.0,14.0,7.0,17.0,10.0,15.0,18.0,6.0,16.0,5.0,20.0,4.0,1.0,,3.0,19.0,8.0,11.0,2.0,13.0,10.0,17.0,7.0,14
Andrew Moran,,,,,,,,,,,,,,,,6.0,20.0,2.0,17.0,1.0,8.0,12.0,10.0,3.0,7.0,9.0,,19.0,11.0,,4.0,18.0,6.0,,16.0,20.0,8.0,1.0,17.0,2
Andrew Robertson,12.0,DEF,9.0,7.0,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0,11.0,18.0,17.0,2.0,10.0,4.0,5.0,6.0,20.0,8.0,15.0,7.0,14.0,3.0,,13.0,1.0,11.0,16.0,19.0,18.0,4.0,10.0,2.0,17
Andrey Nascimento dos Santos,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,19.0,17.0,18.0,11.0,10.0,8.0,2.0,20.0,5.0,,4.0,1.0,3.0,16.0,13.0,15
Andros Townsend,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
AndrÃ© Ayew,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,13.0,19.0,8.0,18.0,15.0,20.0,2.0,14.0,12.0,5.0,4.0,17.0,6.0,1.0,7
AndrÃ© Tavares Gomes,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
Andy Lonergan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,15.0,10.0,5.0,13.0,20.0,3
Angelo Ogbonna,19.0,DEF,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0,14.0,7.0,10.0,1.0,4.0,11.0,20.0,8.0,15.0,6.0,18.0,16.0,5.0,2.0,,17.0,9.0,1.0,3.0,12.0,7.0,14.0,4.0,11.0,10
Anthony Elanga,14.0,MID,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Anthony Gordon,8.0,MID,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,19.0,3.0,12.0,,13.0,20.0,16.0,14.0,4.0,2.0,18.0,8.0,17.0,1.0,11.0,10.0,6
Anthony Knockaert,9.0,MID,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0,8.0,13.0,14.0,7.0,17.0,10.0,15.0,18.0,6.0,16.0,5.0,20.0,4.0,1.0,,3.0,19.0,8.0,11.0,2.0,13.0,10.0,17.0,7.0,14
Anthony Martial,14.0,FWD,5.0,4.0,12.0,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Antoine Semenyo,,,,,,,,,,,,,,,,,,,,,,,,5.0,15.0,20.0,13.0,1.0,12.0,2.0,9.0,10.0,18.0,19.0,17.0,11.0,6.0,7.0,14.0,8
Antonee Robinson,9.0,DEF,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0,8.0,13.0,14.0,7.0,17.0,10.0,15.0,18.0,6.0,16.0,5.0,20.0,4.0,1.0,,3.0,19.0,8.0,11.0,2.0,13.0,10.0,17.0,7.0,14
Antony Matheus dos Santos,,,,,,,,1.0,,,13.0,8.0,15.0,18.0,6.0,19.0,2.0,9.0,16.0,20.0,3.0,13.0,1.0,7.0,11.0,10.0,,12.0,17.0,,15.0,8.0,16.0,,18.0,2.0,19.0,20.0,3.0,9
Anwar El Ghazi,2.0,MID,3.0,8.0,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0,15.0,14.0,5.0,12.0,18.0,20.0,11.0,17.0,10.0,13.0,1.0,8.0,7.0,19.0,3.0,6.0,16.0,15.0,4.0,9.0,14.0,20.0,18.0,12.0,5
Archie Gray,10.0,MID,20.0,17.0,6.0,5.0,8.0,4.0,,,2.0,7.0,1.0,10.0,9.0,12.0,3.0,18.0,13.0,15.0,19.0,2.0,4.0,16.0,14.0,8.0,17.0,6.0,5.0,20.0,1.0,7.0,12.0,9.0,10.0,3.0,13.0,15.0,19.0,18
Armando Broja,6.0,FWD,8.0,18.0,11.0,10.0,17.0,19.0,,,7.0,20.0,2.0,4.0,14.0,5.0,1.0,15.0,3.0,16.0,13.0,7.0,12.0,9.0,19.0,17.0,18.0,11.0,10.0,8.0,2.0,20.0,5.0,,4.0,1.0,3.0,16.0,13.0,15
Armel Bella-Kotchap,17.0,DEF,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0,7.0,15.0,12.0,5.0,9.0,16.0,8.0,2.0,4.0,20.0,6.0,11.0,10.0,14.0,18.0,19.0,13.0,7.0,1.0,3.0,15.0,16.0,9.0,5.0,12
Armstrong Oko-Flex,19.0,MID,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0,14.0,7.0,10.0,1.0,4.0,11.0,20.0,8.0,15.0,6.0,18.0,16.0,5.0,2.0,,17.0,9.0,1.0,3.0,12.0,7.0,14.0,4.0,11.0,10
Arnaut Danjuma,,,,,,,,,,,,,,,,,,,,,,,,13.0,10.0,19.0,6.0,20.0,16.0,17.0,8.0,5.0,3.0,15.0,14.0,12.0,7.0,2.0,4.0,11
Arthur Henrique Ramos de Oliveira Melo,,,,,,,,8.0,,,5.0,1.0,13.0,19.0,16.0,11.0,18.0,17.0,2.0,10.0,4.0,5.0,6.0,20.0,8.0,15.0,7.0,14.0,3.0,,13.0,1.0,11.0,16.0,19.0,18.0,4.0,10.0,2.0,17
Arthur Masuaku,19.0,DEF,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0,14.0,7.0,10.0,1.0,4.0,11.0,20.0,8.0,15.0,6.0,18.0,16.0,5.0,2.0,,17.0,9.0,1.0,3.0,12.0,7.0,14.0,4.0,11.0,10
Ashley Young,2.0,DEF,3.0,8.0,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0,15.0,14.0,5.0,12.0,18.0,20.0,11.0,17.0,10.0,13.0,1.0,8.0,7.0,19.0,3.0,6.0,16.0,15.0,4.0,9.0,14.0,20.0,18.0,12.0,5
Asmir BegoviÄ,8.0,GK,6.0,2.0,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0,9.0,10.0,3.0,20.0,13.0,5.0,17.0,19.0,1.0,12.0,11.0,2.0,16.0,4.0,6.0,18.0,14.0,9.0,7.0,15.0,10.0,5.0,13.0,20.0,3
