name,team,position,gw1_expected_assists,gw2_expected_assists,gw3_expected_assists,gw4_expected_assists,gw5_expected_assists,gw6_expected_assists,gw7_expected_assists,gw8_expected_assists,gw9_expected_assists,gw10_expected_assists,gw11_expected_assists,gw12_expected_assists,gw13_expected_assists,gw14_expected_assists,gw15_expected_assists,gw16_expected_assists,gw17_expected_assists,gw18_expected_assists,gw19_expected_assists,gw20_expected_assists,gw21_expected_assists,gw22_expected_assists,gw23_expected_assists,gw24_expected_assists,gw25_expected_assists,gw26_expected_assists,gw27_expected_assists,gw28_expected_assists,gw29_expected_assists,gw30_expected_assists,gw31_expected_assists,gw32_expected_assists,gw33_expected_assists,gw34_expected_assists,gw35_expected_assists,gw36_expected_assists,gw37_expected_assists,gw38_expected_assists
Aaron Anselmino,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,19.0,DEF,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.28,0.12,0.0,0.01,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.39,0.0
Aaron Hickey,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,1.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,19.0,DEF,0.0,0.0,0.05,0.03,0.29,0.06,0.09,0.02,0.04,0.03,0.01,0.01,0.02,0.2,0.13,0.08,0.01,0.21,0.02,0.02,0.12,0.02,0.11,0.01,0.02,0.33,0.07,0.01,0.03,0.14,0.01,0.15,0.0,0.06,0.07,0.22,0.02,0.04
Abdoulaye Doucour̩,8.0,MID,0.01,0.0,0.01,0.0,0.01,0.02,0.02,0.07,0.02,0.0,0.04,0.03,0.19,0.02,,0.0,0.03,0.01,0.04,0.03,0.01,0.01,0.04,0.11,0.0,0.14,0.0,0.03,0.18,0.03,0.0,0.08,0.02,0.01,0.0,0.02,0.17,0.0
Abdukodir Khusanov,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.01,0.03,0.01,0.03,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Abdul Fatawu,11.0,MID,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.34,0.09,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Armstrong,17.0,FWD,0.08,0.01,0.05,0.0,0.0,0.0,0.01,0.0,0.05,0.07,0.04,0.09,0.01,0.0,0.03,0.0,0.0,0.08,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,17.0,MID,0.0,0.0,0.06,0.0,0.05,0.08,0.0,0.0,0.01,0.01,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
