name,team,position,gw1_expected_goals_conceded,gw2_expected_goals_conceded,gw3_expected_goals_conceded,gw4_expected_goals_conceded,gw5_expected_goals_conceded,gw6_expected_goals_conceded,gw7_expected_goals_conceded,gw8_expected_goals_conceded,gw9_expected_goals_conceded,gw10_expected_goals_conceded,gw11_expected_goals_conceded,gw12_expected_goals_conceded,gw13_expected_goals_conceded,gw14_expected_goals_conceded,gw15_expected_goals_conceded,gw16_expected_goals_conceded,gw17_expected_goals_conceded,gw18_expected_goals_conceded,gw19_expected_goals_conceded,gw20_expected_goals_conceded,gw21_expected_goals_conceded,gw22_expected_goals_conceded,gw23_expected_goals_conceded,gw24_expected_goals_conceded,gw25_expected_goals_conceded,gw26_expected_goals_conceded,gw27_expected_goals_conceded,gw28_expected_goals_conceded,gw29_expected_goals_conceded,gw30_expected_goals_conceded,gw31_expected_goals_conceded,gw32_expected_goals_conceded,gw33_expected_goals_conceded,gw34_expected_goals_conceded,gw35_expected_goals_conceded,gw36_expected_goals_conceded,gw37_expected_goals_conceded,gw38_expected_goals_conceded
Andreas Hoelgebaum Pereira,10.0,MID,0.6,1.94,1.53,2.26,0.86,0.18,1.69,0.55,0.83,0.71,0.36,2.12,1.26,0.95,0.29,1.39,1.46,0.28,1.76,0.06,2.06,2.15,1.52,1.59,1.65,0.36,0.84,0.47,2.08,1.87,1.28,0.19,0.91,1.02,0.87,0.62,2.35,0.0
Andrew Omobamidele,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.23,0.96,0.0,0.01,1.66,2.07,0.46,0.0,0.0,1.48,1.48,1.07,0.0,0.06,0.0,0.0,0.0
Andrew Robertson,11.0,DEF,1.28,1.29,2.0,0.66,0.63,1.11,2.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.42,1.33,1.69,,0.64,0.07,,0.0,0.0,0.71,1.87,0.8,0.7,0.28,0.0,0.56
Andrey Nascimento dos Santos,7.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,,,,,,,,,,,0.1,0.42,1.07,1.57,0.32,1.79,1.72,1.52,,1.28,2.46,0.43,0.91,0.52,0.0,0.11,0.75,,1.55,0.21,0.17,2.98,0.8,0.22,2.3,0.74,0.0,0.0,0.0,0.43
AndrÃ© Onana,14.0,GK,2.27,1.8,1.24,2.27,1.89,1.12,0.81,0.95,1.38,3.94,1.01,0.42,2.73,2.65,1.4,1.48,2.35,1.36,1.68,0.74,1.36,2.1,1.69,2.49,1.74,1.11,3.32,1.48,,2.6,3.04,3.59,1.75,0.77,2.06,1.47,1.71,1.55
AndrÃ© Tavares Gomes,9.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.2,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.35,,0.0,1.12,0.46,1.6,0.73,0.0,0.41,0.29,0.0
Andy Lonergan,9.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anel AhmedhodÅ¾iÄ,17.0,DEF,2.01,1.36,3.52,2.59,1.87,3.94,2.14,2.14,0.0,0.0,0.0,0.0,1.52,1.81,1.78,0.64,2.75,0.0,0.63,0.0,2.27,1.13,2.27,1.88,2.93,1.24,2.16,1.4,,1.35,1.65,0.37,1.02,2.18,2.82,1.49,0.0,3.28
Angelo Ogbonna,19.0,DEF,0.0,0.18,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,2.68,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.75,4.13,0.42,0.0
Anis Slimane,17.0,MID,0.21,0.0,0.0,0.0,0.0,1.49,0.47,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.37,1.14,0.45,0.0,2.04,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.42,0.0,0.32,0.0,0.0,0.0,0.27,0.0
Anssumane Fati Vieira,,,,,,0.0,0.23,0.92,0.43,0.09,0.28,0.56,0.23,1.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.64,0.37,0.23,1.02,0.43,,0.0,0.0,0.59,0.04,0.0,0.0,0.0,0.0,0.18
Anthony Elanga,16.0,MID,0.4,0.27,0.12,1.33,0.56,0.55,0.82,0.23,1.12,2.95,1.26,1.54,1.46,0.7,2.52,1.17,1.53,1.57,2.29,0.45,0.0,0.09,0.96,0.48,0.56,3.57,2.07,0.04,0.6,0.33,1.42,1.48,0.0,0.33,0.77,2.14,0.58,1.13
Anthony Gordon,15.0,MID,1.5,0.52,0.4,1.42,0.54,0.84,0.65,0.0,0.39,0.98,0.56,2.49,0.58,0.33,3.23,2.44,0.2,1.88,3.46,7.27,1.98,1.4,1.19,1.5,2.59,2.4,0.8,0.49,,1.72,0.0,1.23,0.73,0.88,1.39,0.99,1.32,0.0
Anthony Knockaert,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Martial,14.0,FWD,0.0,0.07,1.0,1.07,0.99,0.0,0.27,0.25,0.05,0.11,0.11,0.02,1.65,2.33,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Semenyo,3.0,FWD,0.19,3.0,1.78,1.45,0.0,0.7,0.58,0.0,0.0,0.28,0.79,0.43,0.4,0.57,0.59,0.8,,0.51,0.28,1.44,0.0,1.24,0.5,0.0,1.52,1.64,1.53,1.27,,1.12,0.02,0.58,0.0,1.15,1.0,3.98,1.44,0.99
Antonee Robinson,10.0,DEF,2.73,3.8,3.25,2.26,0.0,0.3,1.73,0.57,1.51,1.32,0.69,3.08,1.41,2.22,0.22,1.03,3.97,0.35,1.76,1.64,2.19,2.15,1.68,1.84,1.65,1.67,1.17,0.83,2.37,1.87,1.51,0.59,0.93,1.02,1.01,0.63,3.25,1.73
Antony Matheus dos Santos,14.0,MID,1.45,1.25,1.22,1.53,0.0,0.0,0.0,0.25,1.33,0.11,0.8,0.07,0.0,0.31,1.4,1.06,2.06,1.19,0.0,0.37,0.0,0.81,0.07,0.0,0.0,0.0,0.28,0.16,,1.04,3.04,1.48,0.0,0.55,2.06,1.08,0.21,0.0
Antwoine Hackford,17.0,FWD,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aribim Pepple,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arijanet Muric,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,4.11,0.84,0.83,0.91,2.43,2.71,3.58,2.5,1.45
Armando Broja,7.0,FWD,0.0,0.0,0.0,0.0,0.0,0.41,0.32,0.29,0.0,0.0,0.0,0.07,0.35,0.72,0.13,0.92,0.13,0.91,0.26,0.58,0.3,0.0,0.16,0.53,0.0,0.0,0.05,0.3,0.0,0.0,0.0,0.55,0.0,0.0,0.14,0.0,1.28,0.0
Arnaut Danjuma Groeneveld,9.0,MID,1.18,0.99,0.88,1.24,1.02,0.13,0.0,0.0,0.62,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.21,0.4,0.11,0.42,1.57,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Phillips,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ashley Young,9.0,DEF,1.5,3.11,1.16,1.24,1.02,1.04,0.89,0.72,4.15,0.0,0.53,2.04,1.22,0.71,1.58,0.18,0.0,0.0,0.0,0.0,0.0,1.48,0.98,0.84,0.53,0.2,0.0,0.08,,0.0,2.54,0.46,2.96,0.85,0.84,0.58,0.64,2.89
Auston Trusty,17.0,DEF,0.0,0.0,0.0,0.0,0.55,0.0,0.47,2.14,1.05,2.78,1.33,1.54,2.71,1.81,1.31,0.64,2.75,0.89,0.63,2.26,1.79,1.13,2.27,0.0,0.97,1.24,2.25,3.34,,0.35,1.03,0.37,1.02,2.18,2.82,1.49,2.16,3.28
