name,team,position,expected_assists_1,expected_assists_2,expected_assists_3,expected_assists_4,expected_assists_5,expected_assists_6,expected_assists_7,expected_assists_8,expected_assists_9,expected_assists_10,expected_assists_11
Josh Wilson-Esbrand,,,,,,,,,,,,,0.0
Jọo F̩lix Sequeira,,,,0.01,0.01,0.02,0.05,0.0,0.02,0.0,0.0,0.0,0.0
Julian Eyestone,,,,,,,,,,,,,
Julio Soler,,,,,,,,,,,,,
Justin Devenny,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Kadan Young,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaden Rodney,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaelan Casey,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Danso,,,,,,,,,,,,,
Kieran McKenna,,,,,,,,,,,,,
Killian Cahill,,,,,,,,,,,0.0,0.0,0.0
Lewis Orford,,,,,,,,,,,,,
Luca Williams-Barnett,,,,,,,,,,,,,
Maeson King,,,,,,,,,,,,,
Malachi Hardy,,,,,,,,,,,,,
Maldini Kacurri,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Ugarte,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02
Marco Alexandre Saraiva da Silva,,,,,,,,,,,,,
Marco Asensio,,,,,,,,,,,,,
Marshall Munetsi,,,,,,,,,,,,,
Martin Sherif,,,,,,,,,,,,,
Matai Akinmboni,,,,,,,,,,,,,
Mateus Gon̤alo Espanha Fernandes,,,,0.01,0.06,0.03,0.23,0.0,0.0,0.02,0.05,0.03,0.17
Mateus Man̩,,,,,,,,,,,,,
Mathis Amougou,,,,,,,,,,,,,
Mathys Tel,,,,,,,,,,,,,
Matt O'Riley,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Max Alleyne,,,,,,,,,,,,,
Max Kinsey,,,,,,,,,,,,,
