name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
Manuel Benson Hedilazio,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Marcelo de AraÃºjo Pitaluga Filho,,,,,,,,,,,,,
Mark OâMahony,,,,,,,,,,,,,
Marvelous Nakamba,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Matt Macey,12.0,GK,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Matthew Whittingham,,,,,,,,,,,,,
Matz Sels,,,,,,,,,,,,,
Mauro Bandeira,,,,,,,,,,,,,
Max Kinsey,,,,,,,,,,,,,
Max Kinsey-Wellings,,,,,,,,,,,,,
Maxime Esteve,,,,,,,,,,,,,
Micah Hamilton,,,,,,,,,,,,,
Michael Dacosta Gonzalez,,,,,,,,,,,,,
Michael Ndiweni,,,,,,,,,,,,,
Michael Obafemi,6.0,FWD,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Michael Olakigbe,,,,,,,15.0,9.0,16.0,14.0,6.0,7.0,19.0
Mike TrÃ©sor,,,,,,,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Mikey Moore,,,,,,,,,,,,,
Mohammed Kudus,,,,,,12.0,13.0,11.0,17.0,15.0,2.0,9.0,4.0
Morgan Rogers,,,,,,,,,,,,,
Murillo Santiago Costa dos Santos,,,,,,7.0,6.0,13.0,4.0,8.0,12.0,11.0,2.0
Myles Lewis-Skelly,,,,,,,,,,,,,
Myles Peart-Harris,,,,,,,,,,,,,
Nathan Fraser,,,,,,8.0,11.0,12.0,13.0,2.0,3.0,15.0,17.0
Nathan Redmond,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
NicolÃ¡s DomÃ­nguez,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0
NicolÃ² Zaniolo,,,,,6.0,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0
Noha Lemina,,,,,,,,,,,,,
Norberto Bercique Gomes Betuncal,,,,,,17.0,1.0,4.0,12.0,3.0,11.0,19.0,5.0
NoÃ«l Atom,,,,,,,,,,,,,
Odeluga Offiah,,,,,,,,,,,,,
Odysseas Vlachodimos,,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0
Oliver Arblaster,,,,,,,,,,,,,
Oliver Scarles,,,,,,,,,,,,,
Oliwier Zych,,,,,6.0,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0
Ollie Harrison,,,,,,,,,,,,,
Owen Beck,,,,,,,,,,,,,
Owen Dodgson,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Owen Hampson,,,,,,,,,,,,,
Owen Hesketh,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Radek VÃ­tek,,,,18.0,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0
Radu Dragusin,,,,,,,,,,,,,
Reece Burke,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Reuell Walters,,,,,,,,,,,,,
Rhys Bennett,,,,,,,,,,,,,
Rodrigo Duarte Ribeiro,,,,,,,,,,,,,
Romain Faivre,,,,,,,,,,,,,
RomÃ©o Lavia,,,,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Ronnie Stutter,,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0
Roshaun Mathurin,,,,,,,,,,,,,
Ross Barkley,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Ryan Giles,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Ryan Gravenberch,,,,,,,20.0,19.0,18.0,5.0,9.0,16.0,12.0
Ryan OnÃ©,,,,,,,,,,,14.0,1.0,20.0
Sam Curtis,,,,,,,,,,,,,
Sam Proctor,,,,,,,,,,,,,
Saman Ghoddos,,,,,,3.0,15.0,9.0,16.0,14.0,6.0,7.0,19.0
Samuel Bastien,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Samy Chouchane,,,,,,,,,,,,,
Sander Berge,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Santiago Bueno,,,,,,8.0,11.0,12.0,13.0,2.0,3.0,15.0,17.0
Scott Twine,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Sofyan Amrabat,,,,,,,5.0,6.0,8.0,4.0,17.0,13.0,10.0
Steven Benda,,,,,,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0
Sydie Peck,,,,,,,,,,,,,
Tahith Chong,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Tawanda Chirewa,,,,,,,,,,,,,
Taylan Harris,,,,,,,,,,,,,
Tayo Adaramola,,,,,,,,,,,,,
Ted Curd,,,,,,,,,,,,,
Teddy Sharman-Lowe,,,,,,,,,,,,,
Temple Ojinnaka,,,,,,,,,,,,,
Thomas Kaminski,12.0,GK,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Tim Krul,,,,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Timo Werner,,,,,,,,,,,,,
Timothy Castagne,,,,,,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0
Toby Collyer,,,,,,,,,,,,,
Tom Davies,,,,16.0,13.0,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0
Tom Lockyer,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Tommi O'Reilly,,,,,,,,,,,,,
Travis Hernes,,,,,,,,,,,,,
Treymaurice Nyoni,,,,,,,,,,,,,
Ty Barnett,,,,,,,,,,,,,
Tyler Adams,,,,,18.0,4.0,7.0,5.0,1.0,9.0,20.0,6.0,13.0
Tyrese Hall,,,,,,,,,,,,,
Tyrique George,,,,,,,,,,,,,
ValentÃ­n Barco,,,,,,,,,,,,,
Valintino Adedokun,,,,,,,,,,,,,19.0
Victor da Silva,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Vincent Angelini,,,,,,,,,,,,,
Wataru Endo,,,,3.0,15.0,2.0,20.0,19.0,18.0,5.0,9.0,16.0,12.0
Wesley Okoduwa,,,,,,,,,,,,,
Willy Kambwala,,,,,,,,,,,,,
Wilson Odobert,,,,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Wout Weghorst,6.0,FWD,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Yago de Santiago Alonso,,,,,,,,,,,,,
Yegor Yarmoliuk,,,,,,,,,,,,,
Yerson Mosquera,,,,,,,,,,,,,
Yunus Konak,,,,,,,,,,,,,
Zack Nelson,,,,,,,,,,,,,11.0
Zak Sturge,,,,,,,,,,,,,
Zeki Amdouni,6.0,FWD,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
ÄorÄe PetroviÄ,,,,,,,,,,,,,
Aaron Ramsey,,,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Adam Wharton,,,,,,,,,,,,,
Adama TraorÃ©,,,4.0,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0,2.0
Ademola Ola-Adebomi,,,,,,,,14.0,16.0,15.0,18.0,6.0,9.0
Admiral Muskwe,12.0,FWD,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Aidan Francis-Clarke,12.0,DEF,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Alex Matos,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0
Alfie Dorrington,,,,,,,,,,,,,20.0
Alfie Doughty,12.0,DEF,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Alfie Gilchrist,,,,,,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0
Allan Campbell,12.0,MID,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Altay Bayindir,,,,,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0
Amadou Diallo,,,,,,,,,,,,,3.0
Amara Nallo,,,,,,,,,,,,,
Amari'i Bell,12.0,DEF,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Ameen Al-Dakhil,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Anass Zaroury,6.0,MID,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Andrew Omobamidele,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0,19.0
Andros Townsend,,,,,,,,,,16.0,2.0,11.0,14.0
Anssumane Fati Vieira,,,,,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0,17.0
Aribim Pepple,12.0,FWD,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Arijanet Muric,6.0,GK,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Ashley Phillips,,,,,6.0,17.0,1.0,11.0,12.0,10.0,8.0,7.0,20.0
Axel Piesold,,,,,,,,,,,,,
Bailey Peacock-Farrell,6.0,GK,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Bashir Humphreys,,,19.0,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0
Ben Brereton,,,,,,,,,,,,,
Ben Jackson,,,,,,,,,,,,,
Ben Parkinson,,,,,,,,,,,,,3.0
Benicio Baker-Boaitey,,,,,,,,,,,,,17.0
Benjamin Arthur,,,,,,,,,,,,,
Benjamin Fredrick,,,,,,,,,,,,,
Billy Blacker,,,,,,,,,,,,,
Billy Crellin,,,,,,,,,,,,,
Bobby Thomas,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Bradley Ibrahim,,,,,,,,,,,,,6.0
CJ Egan-Riley,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Callan McKenna,,,,,,,,,,,,,
Callum Marshall,,,,,,,,,,,,,
Callum Scanlon,,,,,,,,,,9.0,16.0,12.0,4.0
Cameron Peupion,,,,,,,,,,,,,
Carlos Baleba,,,,,15.0,14.0,3.0,2.0,11.0,13.0,10.0,9.0,17.0
Carlos Mendes Gomes,12.0,MID,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Carlton Morris,12.0,FWD,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Cauley Woodrow,12.0,FWD,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Cesare Casadei,,,,,,,,,,,,,
Charles Sagoe,,,,,,,,,,,,,6.0
Charlie Taylor,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Chiedozie Ogbene,12.0,FWD,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Christian Chigozie,,,,,,,,,,,,,
ClÃ©ment Lenglet,,,,,11.0,8.0,7.0,5.0,20.0,19.0,12.0,16.0,10.0
Connor Roberts,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Conor Bradley,,,,,,,,,,,,,
Daiki Hashioka,,,,,,,,,,,,,
Dan Potts,12.0,DEF,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Daniel Gore,,,,16.0,1.0,5.0,6.0,8.0,4.0,17.0,13.0,10.0,12.0
Daniel MuÃ±oz,,,,,,,,,,,,,
Dara Costelloe,6.0,MID,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Dara O'Shea,6.0,DEF,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Darko Churlinov,6.0,MID,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
David Ozoh,,,,,,,,14.0,16.0,15.0,18.0,6.0,9.0
Deivid Washington de Souza EugÃªnio,,,,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0
Denis Franchi,6.0,GK,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0,1.0
Dermot Mee,,,,,,,,,,,,,
Detlef Esapa Osong,,,,,,,,,,,,,
Devan Tanton,,,,,,,,,,,5.0,14.0,2.0
Diego Manuel Jadon da Silva Moreira,,,,12.0,16.0,3.0,2.0,10.0,6.0,1.0,4.0,18.0,13.0
Dion Pereira,12.0,MID,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0,14.0
Divock Origi,,,,,,6.0,13.0,4.0,8.0,12.0,11.0,2.0,19.0
