id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
30,2561924,20,,9,,3,False,0,False,2025-08-30T14:00:00Z,Gameweek 3,True,2
39,2561933,15,,20,,4,False,0,False,2025-09-13T14:00:00Z,Gameweek 4,False,4
50,2561944,20,,11,,5,False,0,False,2025-09-20T14:00:00Z,Gameweek 5,True,2
60,2561954,18,,20,,6,False,0,False,2025-09-28T13:00:00Z,Gameweek 6,False,3
70,2561964,20,,6,,7,False,0,False,2025-10-05T13:00:00Z,Gameweek 7,True,3
78,2561972,17,,20,,8,False,0,False,2025-10-18T14:00:00Z,Gameweek 8,False,2
90,2561984,20,,3,,9,False,0,False,2025-10-26T14:00:00Z,Gameweek 9,True,2
94,2561988,10,,20,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,3
103,2561997,7,,20,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,False,4
120,2562014,20,,8,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,True,3
121,2562015,2,,20,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,False,4
140,2562034,20,,16,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,True,3
150,2562044,20,,14,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,True,3
151,2562045,1,,20,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,False,4
170,2562064,20,,5,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,True,3
176,2562070,12,,20,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,False,5
187,2562081,14,,20,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,False,3
200,2562094,20,,19,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,True,2
206,2562100,9,,20,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,False,3
220,2562114,20,,15,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,True,3
228,2562122,13,,20,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,False,4
240,2562134,20,,4,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,True,3
250,2562144,20,,7,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,True,3
257,2562151,16,,20,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,False,3
264,2562158,8,,20,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,False,3
280,2562174,20,,2,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,True,3
290,2562184,20,,12,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,True,4
292,2562186,5,,20,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,False,3
310,2562204,20,,1,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,True,4
320,2562214,19,,20,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,False,2
326,2562220,11,,20,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,False,2
340,2562234,20,,18,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,True,3
350,2562244,20,,17,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,2
351,2562245,6,,20,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,3
370,2562264,20,,10,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,3
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,2
