id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty
28,2561922,17,,5,,3,False,0,False,2025-08-30T14:00:00Z,Gameweek 3,False,2
33,2561927,5,,7,,4,False,0,False,2025-09-13T19:00:00Z,Gameweek 4,True,3
45,2561939,10,,5,,5,False,0,False,2025-09-20T19:00:00Z,Gameweek 5,False,3
52,2561946,5,,14,,6,False,0,False,2025-09-27T11:30:00Z,Gameweek 6,True,3
64,2561958,5,,13,,7,False,0,False,2025-10-05T15:30:00Z,Gameweek 7,True,4
80,2561974,19,,5,,8,False,0,False,2025-10-20T19:00:00Z,Gameweek 8,False,2
84,2561978,5,,12,,9,False,0,False,2025-10-25T11:30:00Z,Gameweek 9,True,4
93,2561987,8,,5,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,3
102,2561996,5,,15,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,True,3
113,2562007,6,,5,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,False,3
122,2562016,5,,3,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,True,2
131,2562026,1,,5,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,False,4
149,2562043,18,,5,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,False,3
152,2562046,5,,11,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,True,2
170,2562064,20,,5,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,False,3
172,2562066,5,,4,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,True,3
182,2562076,5,,18,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,True,3
194,2562088,9,,5,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,False,3
203,2562097,5,,17,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,2
213,2562107,7,,5,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,4
223,2562117,5,,16,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,3
231,2562125,2,,5,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,4
249,2562143,15,,5,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,False,4
252,2562146,5,,1,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,True,4
262,2562156,5,,6,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,True,3
274,2562168,3,,5,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,False,2
282,2562175,4,,5,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,False,3
292,2562186,5,,20,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,True,2
306,2562200,11,,5,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,False,2
312,2562206,5,,9,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,True,2
322,2562216,5,,10,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,True,3
337,2562231,14,,5,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,False,3
344,2562238,5,,19,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,2
356,2562250,13,,5,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,4
364,2562258,5,,8,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,3
375,2562269,12,,5,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5
